NEXUS VOLUME;Bi-214;Co-60;K-40;Tl-208
EP_COPPER_PLATE;3,13E+02;4,91E+01;4,64E+02;3,76E+01
PMT;2,10E+01;2,28E+02;7,26E+02;1,14E+01
PMT_BASE;4,20E+01;1,05E+01;7,02E+02;5,35E+01
SAPPHIRE_WINDOW;8,83E+00;2,30E-01;8,28E+00;3,08E+00
OPTICAL_PAD;7,92E+00;3,60E+00;4,90E+01;3,19E+00
CATHODE_RING;4,61E+00;0,00E+00;1,30E+00;3,49E-01
LIGHT_TUBE;1,99E+00;2,78E+01;3,83E+02;8,13E+00
FIELD_RING;2,46E+02;2,34E+00;7,28E+01;2,85E+01
HDPE_TUBE;3,07E+00;3,47E+00;2,06E+02;3,74E-01
GATE_RING;4,76E+00;0,00E+00;1,33E+00;3,60E-01
ANODE_RING;4,76E+00;0,00E+00;1,33E+00;3,60E-01
TP_COPPER_PLATE;1,88E+03;0,00E+00;2,36E+03;2,22E+02
DB_PLUG;1,55E+02;1,68E+00;1,89E+02;1,18E+02
SIPM_BOARD;2,18E+01;8,58E+00;1,83E+02;5,14E+00
ICS;7,30E+03;0,00E+00;1,83E+03;8,64E+02
VESSEL;3,42E+03;6,25E+02;1,42E+04;8,82E+02
SHIELDING_LEAD;5,32E+03;0,00E+00;7,69E+02;2,17E+02
SHIELDING_STEEL;2,03E+01;3,48E+01;1,91E+02;8,74E+00
SHIELDING_STRUCT;5,03E+02;7,54E+02;1,34E+03;7,08E+02
BUBBLE_SEAL;3,17E+02;1,16E+01;7,35E+03;3,39E+02
EDPM_SEAL;4,97E+01;6,93E+00;1,29E+02;1,25E+01
PEDESTAL;3,58E+02;5,37E+02;9,55E+02;5,04E+02
